Sport,Actual Rank,Actual Total,Predicted Rank,Predicted Total,Difference in Total Score
Boxing,1,72.375,1,72.326004,0.04899597
Ice Hockey,2,71.75,2,71.71331,0.03668976
Football,3,68.375,3,68.30494,0.07006073
Basketball,4,67.875,4,67.86819,0.0068130493
Wrestling,5,63.5,6,63.273224,0.22677612
Martial Arts,6,63.375,5,63.276966,0.098033905
Tennis,7,62.75,7,62.725258,0.024742126
Gymnastics,8,62.5,8,62.431046,0.06895447
Baseball/Softball,9,62.25,9,62.208233,0.04176712
Soccer,10,61.5,10,61.60958,0.10958099
Skiing: Alpine,11,60.625,11,60.641495,0.016494751
Water Polo,11,60.625,12,60.638725,0.013725281
Rugby,13,60.5,13,60.616142,0.11614227
Lacrosse,14,60.375,14,60.389084,0.014083862
Rodeo: Steer Wrestling,15,56.5,15,56.627518,0.1275177
Track and Field: Pole Vault,16,55.875,16,55.693237,0.1817627
Field Hockey,17,54.875,17,54.887177,0.012176514
Speed Skating,17,54.875,19,54.798904,0.07609558
Figure Skating,19,54.75,18,54.80703,0.057029724
Cycling: Distance,20,54.375,20,54.558994,0.1839943
Volleyball,20,54.375,21,54.499794,0.12479401
Racquetball/Squash,22,53.625,22,53.54257,0.08243179
Surfing,23,53.125,23,53.216537,0.091537476
Fencing,24,52.75,24,52.702747,0.047252655
Skiing: Freestyle,25,52.5,25,52.604156,0.104156494
Team Handball,26,50.75,26,50.815002,0.06500244
Cycling: Sprints,27,50.0,27,50.144604,0.14460373
Bobsledding/Luge,28,49.25,28,49.26908,0.019081116
Ski Jumping,29,48.875,29,48.995132,0.12013245
Skiing: Nordic,30,48.0,30,48.06064,0.060638428
Badminton,30,48.0,31,48.037365,0.03736496
Auto Racing,32,47.875,33,47.75799,0.11700821
Track and Field: High Jump,33,47.75,32,47.811737,0.06173706
"Track and Field: Long, Triple jumps",34,47.375,34,47.4343,0.05929947
Diving,35,47.0,36,46.93875,0.06124878
Swimming (all strokes): Distance,36,46.875,37,46.912476,0.037475586
Skateboarding,37,46.75,35,47.040524,0.29052353
Track and Field: Sprints,38,46.625,38,46.87358,0.24858093
Rowing,39,46.125,41,46.066845,0.05815506
Rodeo: Calf Roping,40,46.0,42,46.063038,0.06303787
Track and Field: Distance,40,46.0,40,46.093716,0.09371567
Rodeo: Bull/Bareback/Bronc Riding,42,45.875,39,46.132442,0.25744247
Track and Field: Middle Distance,43,45.5,43,45.631596,0.13159561
Weight-Lifting,44,45.0,44,45.09657,0.09656906
Swimming (all strokes): Sprints,45,44.125,45,44.16355,0.03855133
Water Skiing,46,44.0,46,44.130352,0.13035202
Table Tennis,47,43.0,47,43.093727,0.09372711
Track and Field: Weights,48,42.125,48,42.261147,0.13614655
Canoe/Kayak,49,42.0,49,42.051334,0.05133438
Horse Racing,50,41.625,50,41.673344,0.04834366
Golf,51,37.875,51,37.897434,0.022434235
Cheerleading,52,36.25,53,36.433075,0.18307495
Roller Skating,52,36.25,52,36.60955,0.35955048
Equestrian,54,31.75,54,31.872381,0.12238121
Archery,55,30.625,55,30.596302,0.028697968
Curling,56,27.5,56,27.623604,0.12360382
Bowling,57,25.375,57,25.601507,0.22650719
Shooting,58,24.875,58,24.96581,0.090810776
Billiards,59,21.5,59,21.667467,0.16746712
Fishing,60,14.5,60,14.979927,0.47992706
